CAIN457A,CAIN457A2303,Clinical Data,Staged Data,EQ5D,EQ5D,N,$PROCESSTYPES$STAGINGWOAUDIT,CAIN457A2303,LSH Specialist,CAIN457A2303,LSH Specialist,CAIN457A2303,LSH Specialist,Global R2.2/3rd Party Automation/3rd Party Automation/WF_3rdParty_Setup/EXEC_3RDPARTY_SETUP,"PI_ENV=PROD/PI_FILE_TYPE=EQ5D/PI_STUDY=CAIN457A2303/PI_PROJECT=CAIN457A/PI_SETUP_TYPE=Blinding/PI_EXEC_MODE=Dummy/PI_NEXT_WF_PARAM=PI_DATA_TYPE,Q1,PI_LOG_TABLE,VAL_ERROR_LOG,PI_PATIENT_NUM_COL,PATIENT,PI_STUDY_COL,STUDY,PI_VISIT_NUM_COL,CPEVENT,PI_LOAD_MODE,INCREMENTAL,PI_DEBUG_FLAG,N,PI_LAB_TEST_COL,CLPARM,PI_LAB_NAME_COL,CLABID",Y,OC,3,N
CAIN457A,CAIN457A2303,Clinical Data,Staged Data,SGICPS,SGICPS,N,$PROCESSTYPES$STAGINGWOAUDIT,CAIN457A2303,LSH Specialist,CAIN457A2303,LSH Specialist,CAIN457A2303,LSH Specialist,Global R2.2/3rd Party Automation/3rd Party Automation/WF_3rdParty_Setup/EXEC_3RDPARTY_SETUP,"PI_ENV=PROD/PI_FILE_TYPE=SGICPS/PI_STUDY=CAIN457A2303/PI_PROJECT=CAIN457A/PI_SETUP_TYPE=Blinding/PI_EXEC_MODE=Dummy/PI_NEXT_WF_PARAM=PI_DATA_TYPE,Z1,PI_LOG_TABLE,VAL_ERROR_LOG,PI_PATIENT_NUM_COL,PATIENT,PI_STUDY_COL,STUDY,PI_VISIT_NUM_COL,CPEVENT,PI_LOAD_MODE,INCREMENTAL,PI_DEBUG_FLAG,N,PI_LAB_TEST_COL,CLPARM,PI_LAB_NAME_COL,CLABID",Y,OC,3,N
CLCZ696B,CLCZ696B2125,Clinical Data,Staged Data,UST,UST,N,$PROCESSTYPES$STAGINGWOAUDIT,CLCZ696B2125,LSH Specialist,CLCZ696B2125,LSH Specialist,CLCZ696B2125,LSH Specialist,Global R2.2/3rd Party Automation/3rd Party Automation/WF_3rdParty_Setup/EXEC_3RDPARTY_SETUP,"PI_ENV=DEV/PI_FILE_TYPE=UST/PI_STUDY=CLCZ696B2125/PI_PROJECT=CLCZ696B/PI_SETUP_TYPE=Blinding/PI_EXEC_MODE=Dummy/PI_NEXT_WF_PARAM=PI_DATA_TYPE,UST,PI_LOG_TABLE,VAL_ERROR_LOG,PI_PATIENT_NUM_COL,PATIENT,PI_STUDY_COL,STUDY,PI_VISIT_NUM_COL,CPEVENT,PI_LOAD_MODE,INCREMENTAL,PI_DEBUG_FLAG,N,PI_LAB_TEST_COL,CLPARM,PI_LAB_NAME_COL,CLABID",Y,OC,3,N
CLDE225A,CLDE225A2201,Clinical Data,Staged Data,LB,LB,N,$PROCESSTYPES$STAGINGWOAUDIT,WDCS,LSH Specialist,WDCS,LSH Specialist,WDCS,LSH Specialist,Global R2.2/3rd Party Automation/3rd Party Automation/WF_3rdParty_Setup/EXEC_3RDPARTY_SETUP,"PI_ENV=PROD/PI_FILE_TYPE=LB/PI_STUDY=CLDE225A2201/PI_PROJECT=CLDE225A/PI_SETUP_TYPE=Blinding/PI_EXEC_MODE=Dummy/PI_NEXT_WF_PARAM=PI_DATA_TYPE,LB,PI_LOG_TABLE,VAL_ERROR_LOG,PI_PATIENT_NUM_COL,PATIENT,PI_STUDY_COL,STUDY,PI_VISIT_NUM_COL,CPEVENT,PI_LOAD_MODE,INCREMENTAL,PI_DEBUG_FLAG,N,PI_LAB_TEST_COL,CLPARM,PI_LAB_NAME_COL,CLABID",Y,OC,3,N
CAFQ056A,CAFQ056A2222,Clinical Data,Staged Data,Y6,Y6,Y,$PROCESSTYPES$STAGINGWOAUDIT,CAFQ056A2222,LSH Specialist,CAFQ056A2222,LSH Specialist,CAFQ056A2222,LSH Specialist,,,Y,SAS,3,N
CAFQ056A,CAFQ056A2223,Clinical Data,Staged Data,LB,LB,N,$PROCESSTYPES$STAGINGWOAUDIT,CAFQ056A2223,LSH Specialist,CAFQ056A2223,LSH Specialist,CAFQ056A2223,LSH Specialist,Global R2.2/3rd Party Automation/3rd Party Automation/WF_3rdParty_Setup/EXEC_3RDPARTY_SETUP,"PI_ENV=PROD/PI_FILE_TYPE=LB/PI_STUDY=CAFQ056A2223/PI_PROJECT=CAFQ056A/PI_SETUP_TYPE=Blinding/PI_EXEC_MODE=Dummy/PI_NEXT_WF_PARAM=PI_DATA_TYPE,LB,PI_LOG_TABLE,VAL_ERROR_LOG,PI_PATIENT_NUM_COL,PATIENT,PI_STUDY_COL,STUDY,PI_VISIT_NUM_COL,CPEVENT,PI_LOAD_MODE,INCREMENTAL,PI_DEBUG_FLAG,N,PI_LAB_TEST_COL,CLPARM,PI_LAB_NAME_COL,CLABID",Y,OC,3,N
CAFQ056A,CAFQ056A2299,Clinical Data,Staged Data,Y1,Y1,Y,$PROCESSTYPES$STAGINGWOAUDIT,CAFQ056A2299,LSH Specialist,CAFQ056A2299,LSH Specialist,CAFQ056A2299,LSH Specialist,,,Y,SAS,3,N
CAFQ056A,CAFQ056A2299,Clinical Data,Staged Data,Y6,Y6,Y,$PROCESSTYPES$STAGINGWOAUDIT,CAFQ056A2299,LSH Specialist,CAFQ056A2299,LSH Specialist,CAFQ056A2299,LSH Specialist,,,Y,SAS,3,N
CAIN457A,CAIN457A2302,Clinical Data,Staged Data,DLQI,DLQI,N,$PROCESSTYPES$STAGINGWOAUDIT,CAIN457A2302,LSH Specialist,CAIN457A2302,LSH Specialist,CAIN457A2302,LSH Specialist,Global R2.2/3rd Party Automation/3rd Party Automation/WF_3rdParty_Setup/EXEC_3RDPARTY_SETUP,"PI_ENV=PROD/PI_FILE_TYPE=DLQI/PI_STUDY=CAIN457A2302/PI_PROJECT=CAIN457A/PI_SETUP_TYPE=Blinding/PI_EXEC_MODE=Dummy/PI_NEXT_WF_PARAM=PI_DATA_TYPE,Q2,PI_LOG_TABLE,VAL_ERROR_LOG,PI_PATIENT_NUM_COL,PATIENT,PI_STUDY_COL,STUDY,PI_VISIT_NUM_COL,CPEVENT,PI_LOAD_MODE,INCREMENTAL,PI_DEBUG_FLAG,N,PI_LAB_TEST_COL,CLPARM,PI_LAB_NAME_COL,CLABID",Y,OC,3,N
CAIN457A,CAIN457A2302,Clinical Data,Staged Data,EQ5D,EQ5D,N,$PROCESSTYPES$STAGINGWOAUDIT,CAIN457A2302,LSH Specialist,CAIN457A2302,LSH Specialist,CAIN457A2302,LSH Specialist,Global R2.2/3rd Party Automation/3rd Party Automation/WF_3rdParty_Setup/EXEC_3RDPARTY_SETUP,"PI_ENV=PROD/PI_FILE_TYPE=EQ5D/PI_STUDY=CAIN457A2302/PI_PROJECT=CAIN457A/PI_SETUP_TYPE=Blinding/PI_EXEC_MODE=Dummy/PI_NEXT_WF_PARAM=PI_DATA_TYPE,Q1,PI_LOG_TABLE,VAL_ERROR_LOG,PI_PATIENT_NUM_COL,PATIENT,PI_STUDY_COL,STUDY,PI_VISIT_NUM_COL,CPEVENT,PI_LOAD_MODE,INCREMENTAL,PI_DEBUG_FLAG,N,PI_LAB_TEST_COL,CLPARM,PI_LAB_NAME_COL,CLABID",Y,OC,3,N
